"Title:","Unemployment from the Employment and Unemployment - Non-Seasonally Adjusted Database"
"SubTitle:","Counties within State"
"Time:","01/1990 - 09/2022"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","Bureau of Labor Statistics (2022-11-20). Employment and Unemployment - Non-Seasonally Adjusted: Unemployment | Albany, Berkshire, Goshen, Lincoln, Madison, Newport, Providence, Saratoga, Suffolk, Washington, Worcester, 01/1990 - 09/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-013-003 doi:https://doi.org/10.6068/DP184A09C29E252"
"ColumnCount:",13
"RowCount:",393

"Time","Albany, Wyoming, #","Albany, New York, #","Berkshire, Massachusetts, #","Goshen, Wyoming, #","Lincoln, Wyoming, #","Madison, New York, #","Newport, Rhode Island, #","Providence, Rhode Island, #","Saratoga, New York, #","Suffolk, Massachusetts, #","Washington, Rhode Island, #","Worcester, Massachusetts, #"
"08/1997",290,5232,2824,257,296,1408,1870,17160,3442,15851,2452,14886
"09/1997",241,5663,2835,262,326,1548,1690,16460,3866,15993,2469,14598
"10/1997",251,5291,2407,236,288,1470,1752,15969,3809,13326,2188,12252
"11/1997",276,5072,2388,249,300,1709,1821,14733,3967,12379,2154,11888
"12/1997",351,5078,2708,281,434,2055,2034,14682,4221,11414,2314,11900
"01/1998",472,5972,3520,456,495,2527,3013,19256,5024,13706,3255,15521
"02/1998",448,6014,3357,398,413,2360,2824,17923,4949,12683,2984,14919
"03/1998",492,5475,3343,390,518,2338,2694,18032,4538,12740,2792,14817
"04/1998",358,4393,2443,272,414,1590,1813,14655,3300,11073,2090,11260
"05/1998",317,4891,2508,265,381,1497,1618,14380,3316,11913,1833,11846
"06/1998",362,4670,2741,285,445,1429,1526,14160,3154,13875,1855,13875
"07/1998",336,4371,2551,281,369,1312,1551,15178,2873,14263,2034,14266
"08/1998",338,4325,2256,275,303,1185,1472,14959,3031,12668,2200,12714
"09/1998",303,4790,2272,235,375,1294,1340,14927,3420,13186,1969,12740
"10/1998",297,4444,2061,224,344,1172,1425,14383,3345,10880,2192,11339
"11/1998",360,4009,2156,266,318,1243,1548,12802,3449,10313,1961,11053
"12/1998",349,3947,2354,280,407,1532,1486,12042,3455,10158,1892,11330
"01/1999",478,4838,3235,411,483,2183,2531,17831,4304,12653,3244,15310
"02/1999",436,5066,3332,355,433,2243,2227,15147,4578,12022,2927,15059
"03/1999",381,4658,3196,315,534,1988,1905,13502,4166,11690,2354,14214
"04/1999",375,4258,2601,208,441,1531,1351,12655,3525,11597,1858,12514
"05/1999",306,4102,2508,188,382,1461,1283,13192,3204,11844,1810,12375
"06/1999",313,4325,2800,232,418,1411,1293,14228,3020,13883,1876,14288
"07/1999",281,4556,2584,225,350,1479,1406,15693,3110,14314,2114,14761
"08/1999",291,4263,2194,217,313,1376,1440,14789,2778,13073,2205,12995
"09/1999",251,4972,2188,190,349,1560,1355,14331,3309,13577,2087,12991
"10/1999",258,4480,1983,181,360,1399,1436,13895,3114,11443,2160,11330
"11/1999",309,4210,1991,180,303,1452,1511,13418,3253,11037,2152,10951
"12/1999",274,4197,2161,162,389,1725,1530,12941,3368,10343,2194,10802
"01/2000",723,6041,2908,324,394,1819,2441,17388,4572,13291,3158,14082
"02/2000",702,6078,2757,296,374,1769,2350,16262,4580,11985,3044,13581
"03/2000",689,5486,2713,258,359,1617,1978,14506,4210,11882,2675,12877
"04/2000",581,4782,2030,202,289,1378,1396,12314,3550,9882,2037,10220
"05/2000",564,4814,1973,196,252,1196,1457,13327,3426,10402,2145,10508
"06/2000",635,4949,2116,208,261,1191,1386,13295,3423,11961,2041,11609
"07/2000",563,5249,2041,202,231,1206,1501,14450,3405,12252,2197,11902
"08/2000",526,5163,1811,205,218,1148,1556,14250,3371,11079,2210,10678
"09/2000",528,5141,1802,185,219,1081,1308,11593,3416,10806,1797,9867
"10/2000",522,4686,1569,172,216,1008,1215,11065,3146,9237,1759,8499
"11/2000",596,4644,1750,206,252,1232,1417,11286,3380,9204,1953,8767
"12/2000",557,4515,1872,209,281,1384,1410,11059,3325,9525,1835,9140
"01/2001",736,5475,2960,331,354,1808,2233,16362,4215,13099,2918,14022
"02/2001",657,5328,2871,295,336,1751,2158,15573,4004,12546,2912,13854
"03/2001",706,4926,2939,288,360,1665,2061,16554,3832,13119,2773,14445
"04/2001",596,4511,2467,251,293,1416,1616,14627,3338,11994,2183,12640
"05/2001",582,4513,2248,222,241,1333,1428,14722,3097,13077,2147,13082
"06/2001",677,5019,2536,252,265,1445,1514,15823,3344,15608,2337,15639
"07/2001",584,5264,2496,216,242,1494,1610,16833,3343,16161,2496,16455
"08/2001",590,5222,2388,223,245,1479,1508,15678,3586,16193,2337,16701
"09/2001",615,5203,2366,209,245,1417,1292,13670,3733,16555,1953,16873
"10/2001",598,5303,2209,206,280,1485,1353,14469,3844,16501,2139,16395
"11/2001",620,5587,2357,208,331,1679,1600,14551,4228,16783,2318,17197
"12/2001",620,5845,2700,211,349,2010,1707,14937,4559,17606,2359,18123
"01/2002",678,6903,3598,329,427,2508,2446,20046,5538,20992,3397,23062
"02/2002",645,6913,3528,295,398,2473,2311,17709,5565,20183,3105,22936
"03/2002",703,6552,3617,275,413,2261,2170,17136,5127,20500,2927,22505
"04/2002",665,6199,3202,257,362,1913,1917,16005,4531,19823,2572,20940
"05/2002",562,6074,3012,216,287,1699,1751,15858,4166,20103,2507,20827
"06/2002",634,6465,3365,260,311,1754,1730,15976,4326,22141,2564,23203
"07/2002",542,6513,3438,231,266,1709,1867,17845,4253,22191,2990,23854
"08/2002",492,6120,3094,218,259,1589,1943,18412,3818,20933,3039,22701
"09/2002",527,5900,3107,209,283,1467,1718,17278,3854,20899,2719,22171
"10/2002",541,5603,2852,203,290,1410,1827,17483,3759,19431,2731,20956
"11/2002",601,5930,3174,235,365,1788,2046,17980,4223,20349,3043,21747
"12/2002",615,5996,3398,241,412,2040,2132,18584,4513,20594,3051,22616
"01/2003",693,7183,4247,358,512,2356,3059,23084,5395,23168,3929,26821
"02/2003",675,7051,4314,324,452,2264,2862,21830,5328,22383,3784,26533
"03/2003",639,6527,4107,302,461,2137,2648,21133,4921,22316,3620,25833
"04/2003",615,6331,3710,254,419,2013,2130,19200,4708,21379,3021,23628
"05/2003",573,6464,3525,245,349,1736,1991,19445,4354,22614,2734,24315
"06/2003",685,7291,3841,281,372,1908,2038,20629,4717,25523,2976,26978
"07/2003",593,7097,3598,239,323,1871,2060,21109,4496,24772,3041,26460
"08/2003",572,6763,3394,241,290,1845,2032,19792,4262,23617,2845,24498
"09/2003",593,6818,3320,232,297,1805,1714,17472,4344,22741,2516,23889
"10/2003",549,6531,3154,209,282,1810,1742,17156,4273,20653,2525,22081
"11/2003",648,6604,3330,233,334,2071,2044,17786,4650,20098,2834,22111
"12/2003",618,6631,3400,226,353,2209,2173,17307,4607,18833,2871,21485
"01/2004",714,7723,4313,318,414,2752,3003,22057,5739,21524,4128,26224
"02/2004",668,7488,4072,300,392,2593,2765,20649,5568,19985,3986,25129
"03/2004",638,7478,4104,291,400,2521,2733,21017,5502,20038,3926,24777
"04/2004",557,6549,3348,239,316,1932,2158,19204,4604,18168,3302,21251
"05/2004",550,6300,3246,223,292,1776,1941,18526,4273,18979,2919,21615
"06/2004",635,7063,3517,250,313,1917,1973,19004,4646,20947,2947,23271
"07/2004",557,6920,3359,237,280,1872,1996,19709,4336,20828,3049,23257
"08/2004",503,6372,2996,212,256,1748,1875,17669,3993,19071,2824,21062
"09/2004",533,6164,2858,230,260,1642,1491,15016,4003,18507,2334,20215
"10/2004",529,5935,2719,225,266,1591,1488,14308,3999,17141,2256,19016
"11/2004",579,6066,2809,242,294,1764,1713,14669,4268,16785,2455,18960
"12/2004",561,6384,3022,245,309,2017,1818,15124,4638,16367,2602,19294
"01/2005",619,6865,3799,295,390,2372,2654,18790,5093,18476,3710,23756
"02/2005",578,6806,3902,284,368,2466,2670,18652,5220,18274,3683,23568
"03/2005",549,6005,3663,294,368,2113,2406,18071,4494,17104,3425,22101
"04/2005",515,5852,3094,240,307,1926,1860,16396,4206,16259,2695,19901
"05/2005",542,6056,3021,231,296,1795,1701,16357,4078,17238,2620,20161
"06/2005",598,6468,3145,262,318,1829,1799,17718,4334,19183,2832,21291
"07/2005",518,6662,3070,232,292,1817,1949,19450,4382,19113,3118,21843
"08/2005",473,6047,2731,229,272,1625,1967,18602,3920,17388,3060,19647
"09/2005",490,6299,2797,241,278,1562,1836,17981,4248,18108,2799,19878
"10/2005",494,5741,2612,230,283,1429,1797,17159,3975,16506,2641,18227
"11/2005",533,6113,2883,237,306,1633,2068,17444,4373,16989,2942,19077
"12/2005",508,5936,2994,233,319,1777,2218,17542,4380,15981,3119,18639
"01/2006",564,6464,3796,244,364,2088,2969,20683,4735,18215,3997,22168
"02/2006",519,6821,3772,263,342,2178,2848,20689,5269,18220,4031,22398
"03/2006",551,6433,3525,273,336,2035,2537,19467,4824,17036,3610,21005
"04/2006",472,6037,2999,234,267,1705,2129,18430,4236,16881,3168,19168
"05/2006",458,5999,2838,222,260,1540,1860,18592,4028,17522,2987,19105
"06/2006",506,6425,3143,247,257,1565,1924,19026,4188,19485,2991,20813
"07/2006",456,6753,3107,221,238,1617,2068,20479,4368,19874,3369,22174
"08/2006",421,6279,2919,192,222,1502,2023,19267,4008,18480,3214,20707
"09/2006",417,5995,2973,180,229,1381,1713,16577,3950,18115,2720,20318
"10/2006",401,5394,2586,173,236,1228,1666,15770,3583,15811,2534,18059
"11/2006",433,5543,2886,180,251,1401,1930,16602,3790,16293,2877,18798
"12/2006",382,5357,3106,165,247,1591,1956,16106,3862,15607,2841,19111
"01/2007",527,6577,4110,217,303,2095,2693,19483,4861,18624,3851,23621
"02/2007",476,6377,3950,190,270,2116,2429,18373,4962,17186,3585,22330
"03/2007",487,5683,3683,176,249,1854,2169,16830,4356,15537,3150,20724
"04/2007",437,5417,3340,190,236,1625,1892,16538,4048,14840,2783,19006
"05/2007",437,5475,3009,179,220,1353,1769,16549,3870,16361,2714,19069
"06/2007",507,6087,3279,213,233,1478,1772,16961,4093,18414,2698,20701
"07/2007",455,6468,3236,194,198,1525,1908,19685,4299,18197,3184,21720
"08/2007",367,6071,2834,171,162,1446,1877,18829,4007,16312,3019,19613
"09/2007",369,6062,2912,160,169,1438,1664,17480,4068,16856,2712,19316
"10/2007",364,5860,2616,168,171,1371,1702,17541,4044,15162,2813,17439
"11/2007",360,5952,2707,157,176,1484,1997,18070,4183,15065,3168,17516
"12/2007",331,6361,3052,153,174,1935,2342,19798,4736,15224,3509,19047
"01/2008",554,7312,3941,229,316,2310,3252,23982,5505,17799,4681,22851
"02/2008",492,7282,3815,247,314,2290,3036,23369,5675,16749,4478,22056
"03/2008",458,7077,3797,240,337,2223,2848,23448,5446,16391,4389,21781
"04/2008",406,6410,3225,206,287,1786,2361,21735,4816,14857,3843,19073
"05/2008",446,7246,3378,184,237,1699,2435,24699,5005,18615,4218,21297
